attendance,internal_marks,assignment_score,quiz_score,previous_gpa,semester,gender,AcademicRisk
40.59,40.5,71.25,62.69,0.74,4,Male,High Risk
90.99,91.7,60.9,95.95,2.33,6,Female,Low Risk
61.12,92.61,83.52,62.01,2.55,4,Female,Low Risk
24.41,85.44,3.45,70.89,4.0,5,Male,Medium Risk
94.43,73.62,54.78,60.07,3.89,5,Male,Low Risk
25.4,57.14,17.17,94.12,3.55,7,Female,Medium Risk
99.28,73.74,97.83,79.5,2.42,2,Female,Low Risk
61.43,44.73,39.86,47.19,2.33,2,Female,Medium Risk
93.71,93.74,51.94,50.96,2.54,1,Female,Low Risk
53.24,68.07,84.15,68.85,2.57,1,Male,Medium Risk
99.81,45.54,52.37,96.38,3.66,4,Female,Low Risk
76.47,44.74,74.95,97.54,1.84,3,Female,Medium Risk
68.56,41.96,50.99,84.33,2.86,6,Male,Medium Risk
49.67,78.26,86.02,71.26,3.89,2,Male,Low Risk
74.38,66.32,76.3,69.33,3.42,7,Male,Low Risk
86.46,75.75,96.93,70.87,3.81,6,Male,Low Risk
42.37,93.01,50.24,97.11,1.04,8,Female,Medium Risk
96.43,30.63,2.35,25.49,0.68,6,Female,High Risk
10.68,42.51,65.2,49.82,0.66,8,Female,High Risk
65.96,66.05,80.24,59.39,3.73,6,Female,Low Risk
81.35,88.63,48.99,41.68,3.28,1,Female,Low Risk
10.5,39.86,91.73,63.08,0.71,1,Female,High Risk
76.96,98.02,43.98,37.46,3.89,3,Other,Low Risk
86.81,69.26,55.05,72.05,3.66,5,Female,Low Risk
50.22,74.83,50.49,82.41,3.24,8,Male,Medium Risk
81.24,73.47,97.29,86.16,3.27,4,Female,Low Risk
69.75,43.65,84.01,82.12,3.39,8,Female,Low Risk
95.43,52.73,64.59,84.12,3.35,2,Female,Low Risk
81.58,17.65,5.18,75.59,1.4,2,Female,High Risk
54.1,47.51,85.07,85.5,3.89,5,Male,Low Risk
80.08,52.23,58.96,83.24,3.78,4,Male,Low Risk
69.53,43.45,68.83,72.98,2.86,6,Male,Medium Risk
99.01,24.26,27.42,81.35,0.64,5,Female,High Risk
67.51,52.79,84.45,81.87,3.02,8,Female,Low Risk
95.63,71.33,99.49,65.07,2.52,4,Male,Low Risk
58.7,76.46,59.16,49.85,3.89,3,Male,Low Risk
88.22,59.56,60.61,95.5,3.78,8,Male,Low Risk
67.95,94.05,67.23,85.74,3.87,8,Male,Low Risk
49.27,42.4,65.27,28.97,3.49,1,Other,Medium Risk
92.65,61.52,93.01,64.69,3.34,8,Female,Low Risk
56.85,98.76,93.46,64.88,3.53,3,Female,Low Risk
67.7,58.24,56.54,63.19,2.54,8,Female,Medium Risk
69.84,41.85,82.94,59.69,2.02,3,Male,Medium Risk
67.12,41.49,80.08,66.36,3.16,8,Male,Medium Risk
90.67,56.28,90.07,64.01,3.93,7,Female,Low Risk
59.88,98.13,68.41,55.5,3.5,8,Male,Low Risk
50.77,94.06,42.8,1.59,0.95,6,Female,High Risk
77.26,54.86,88.2,56.71,3.93,2,Female,Low Risk
50.22,86.35,68.91,95.83,3.49,7,Female,Low Risk
86.08,34.23,65.9,40.26,0.62,3,Female,High Risk
54.48,85.22,98.32,59.93,3.12,2,Female,Low Risk
70.26,56.77,53.0,60.54,2.62,5,Male,Medium Risk
31.79,74.45,14.65,56.07,1.5,5,Female,High Risk
53.28,90.92,79.0,57.96,3.99,5,Female,Low Risk
59.36,63.66,77.61,89.77,3.32,6,Female,Low Risk
58.57,41.97,94.78,59.86,2.7,1,Male,Medium Risk
55.99,40.42,93.46,72.04,2.31,4,Female,Medium Risk
57.83,95.37,82.16,68.0,3.1,2,Female,Low Risk
46.6,52.26,76.39,79.92,1.97,2,Female,Medium Risk
66.57,95.65,69.65,69.59,2.65,4,Female,Low Risk
96.09,62.75,60.01,89.69,3.08,8,Female,Low Risk
98.54,93.76,73.2,85.62,3.78,4,Male,Low Risk
65.75,87.59,79.11,75.28,2.81,2,Female,Low Risk
56.87,29.46,48.95,61.37,1.71,5,Other,High Risk
81.04,94.25,90.74,66.14,2.48,3,Female,Low Risk
67.66,62.29,83.25,65.97,3.58,8,Female,Low Risk
60.32,40.16,66.03,52.13,3.95,2,Female,Medium Risk
77.46,40.73,97.33,83.87,2.41,1,Female,Medium Risk
79.31,99.09,96.36,51.47,3.16,5,Male,Low Risk
81.45,75.43,60.31,77.78,2.13,4,Male,Medium Risk
32.74,80.07,87.02,51.97,1.92,4,Other,Medium Risk
47.93,6.21,25.81,80.4,3.01,5,Other,High Risk
34.27,55.15,79.0,23.4,3.86,5,Female,Medium Risk
56.19,82.06,85.14,45.75,3.99,4,Female,Low Risk
87.46,43.88,55.89,71.68,2.75,4,Male,Medium Risk
96.15,59.31,89.43,16.94,3.8,5,Other,Low Risk
76.65,63.24,51.48,89.9,3.4,5,Male,Low Risk
23.59,90.79,76.37,45.73,3.82,3,Male,Medium Risk
67.76,45.98,80.98,74.52,2.09,1,Male,Medium Risk
56.74,39.72,44.5,6.31,3.88,3,Male,Medium Risk
85.05,74.46,67.67,91.6,3.75,6,Female,Low Risk
76.76,84.01,94.56,56.26,2.26,7,Female,Low Risk
58.13,93.38,70.84,98.59,2.13,1,Female,Low Risk
68.86,67.67,75.71,94.25,2.77,7,Female,Low Risk
58.78,97.23,69.12,82.36,3.05,3,Female,Low Risk
31.99,74.19,10.65,13.81,1.67,3,Male,High Risk
89.47,45.76,78.85,88.94,2.17,7,Female,Low Risk
69.92,65.39,91.08,88.6,3.85,4,Male,Low Risk
93.67,18.79,10.73,49.76,2.08,1,Female,High Risk
62.68,43.51,60.22,67.0,3.32,6,Male,Medium Risk
70.84,90.01,75.66,66.06,2.25,2,Female,Low Risk
74.28,40.3,69.92,79.32,3.34,8,Female,Medium Risk
52.67,73.52,95.23,55.82,3.31,2,Male,Low Risk
16.3,65.88,52.66,27.09,2.22,1,Female,High Risk
98.08,98.26,67.96,81.25,3.6,4,Male,Low Risk
89.36,85.13,92.0,26.9,3.94,6,Other,Low Risk
51.43,94.38,59.98,61.79,3.68,2,Female,Low Risk
86.98,82.59,83.39,81.43,2.6,1,Male,Low Risk
96.91,57.05,80.94,54.52,3.82,7,Female,Low Risk
51.52,94.12,73.22,71.97,3.51,1,Male,Low Risk
64.23,69.04,98.3,41.18,1.61,2,Other,Medium Risk
62.39,87.48,78.77,85.45,2.13,2,Male,Low Risk
67.07,89.14,82.02,81.72,3.43,1,Male,Low Risk
56.33,40.34,68.5,58.75,2.36,7,Male,Medium Risk
58.41,7.4,95.84,30.51,1.44,6,Female,High Risk
88.84,51.17,49.45,94.27,3.73,7,Other,Low Risk
98.97,49.35,35.55,27.49,3.92,2,Male,Medium Risk
98.47,67.82,50.85,20.53,3.8,8,Male,Low Risk
75.39,53.4,56.79,85.11,2.95,6,Female,Medium Risk
99.61,41.81,61.9,64.07,3.89,5,Male,Low Risk
97.07,98.68,99.6,50.71,3.99,2,Male,Low Risk
68.71,7.92,90.78,64.31,1.83,7,Female,Medium Risk
59.32,80.65,80.04,76.07,3.24,7,Male,Low Risk
73.09,99.13,78.77,94.09,3.15,4,Female,Low Risk
87.0,54.35,87.68,60.5,3.23,3,Female,Low Risk
78.63,89.41,89.44,51.7,2.98,4,Female,Low Risk
92.82,41.67,0.36,6.26,0.44,8,Male,High Risk
94.47,65.84,70.62,74.64,3.38,6,Female,Low Risk
54.03,60.37,62.33,57.47,3.24,4,Female,Medium Risk
50.6,10.08,65.88,13.4,2.04,5,Male,High Risk
74.41,92.06,93.5,53.92,3.64,8,Female,Low Risk
75.75,82.63,84.11,77.97,3.8,6,Female,Low Risk
69.51,60.22,98.16,94.83,2.21,3,Female,Low Risk
85.99,65.63,93.22,99.42,3.78,6,Male,Low Risk
38.33,72.97,55.3,93.61,3.12,5,Female,Medium Risk
10.62,3.54,24.45,47.81,2.03,8,Male,High Risk
91.43,62.7,53.08,69.73,3.37,3,Male,Low Risk
27.96,3.2,61.44,37.37,2.61,7,Male,High Risk
52.34,47.4,84.89,67.58,3.76,2,Female,Medium Risk
78.91,90.31,78.38,99.62,3.81,3,Female,Low Risk
60.49,70.67,80.22,57.77,2.07,7,Female,Medium Risk
55.61,82.91,73.18,76.11,3.1,6,Female,Low Risk
47.02,93.48,97.83,97.59,2.58,3,Other,Low Risk
76.02,62.69,63.65,50.85,3.66,8,Female,Low Risk
57.84,82.08,85.52,71.06,3.69,7,Female,Low Risk
97.22,98.7,36.56,78.79,3.21,4,Other,Low Risk
97.45,54.43,64.3,62.8,3.08,8,Male,Low Risk
81.87,73.88,96.05,27.05,3.31,4,Female,Low Risk
55.28,98.26,90.89,95.44,3.89,3,Female,Low Risk
98.18,55.45,82.65,65.72,2.06,7,Male,Low Risk
95.74,49.14,91.93,82.75,3.26,6,Female,Low Risk
81.62,78.67,67.8,58.84,3.71,8,Female,Low Risk
65.56,62.18,66.21,37.73,1.35,6,Female,Medium Risk
73.59,54.15,57.28,74.46,3.63,1,Male,Low Risk
93.64,93.78,80.9,16.84,2.38,2,Female,Low Risk
71.09,86.12,83.98,52.13,3.51,5,Male,Low Risk
27.93,44.7,63.06,51.28,3.05,1,Male,Medium Risk
0.31,61.97,93.48,78.79,3.41,7,Female,Medium Risk
97.77,65.13,57.84,87.42,2.53,6,Female,Low Risk
84.47,86.2,80.51,62.99,2.43,8,Male,Low Risk
83.55,58.06,80.36,88.86,3.24,3,Female,Low Risk
81.09,45.02,83.15,55.21,3.91,3,Female,Low Risk
92.23,72.39,92.19,61.64,3.16,2,Male,Low Risk
75.57,34.5,16.03,66.59,2.0,2,Female,Medium Risk
89.0,92.18,81.46,59.27,3.82,7,Female,Low Risk
99.93,57.86,80.87,74.43,3.42,7,Other,Low Risk
93.42,95.62,53.74,60.84,2.05,2,Female,Low Risk
51.57,79.67,65.85,53.73,2.87,5,Female,Medium Risk
57.35,67.5,58.46,54.93,2.65,2,Male,Medium Risk
84.34,94.73,69.4,55.01,3.26,3,Male,Low Risk
58.28,60.78,79.82,86.85,3.52,3,Female,Low Risk
62.93,88.41,50.28,73.89,2.81,8,Male,Medium Risk
73.97,85.13,83.1,58.66,3.81,3,Male,Low Risk
2.42,94.14,10.83,12.69,0.59,8,Other,High Risk
51.86,63.38,86.8,96.45,2.4,7,Male,Medium Risk
5.82,40.37,4.86,60.75,2.75,1,Other,High Risk
52.04,90.67,99.44,77.6,2.43,3,Female,Low Risk
57.6,58.18,56.72,77.62,3.11,7,Male,Medium Risk
38.43,86.82,53.7,65.53,3.13,8,Other,Medium Risk
62.48,59.02,27.02,58.47,3.16,4,Female,Medium Risk
65.71,72.69,64.91,84.67,2.31,7,Female,Medium Risk
99.25,62.1,68.48,64.14,2.36,6,Female,Low Risk
59.71,82.3,85.28,69.22,3.59,2,Male,Low Risk
95.94,64.23,86.87,74.83,3.16,8,Male,Low Risk
82.67,74.48,99.14,68.91,2.39,7,Female,Low Risk
74.08,86.55,2.52,79.63,3.57,1,Male,Low Risk
60.26,54.61,84.01,72.81,2.25,2,Female,Medium Risk
57.11,68.6,17.8,72.66,3.74,2,Female,Medium Risk
58.21,43.97,61.04,95.23,3.35,4,Female,Medium Risk
17.02,45.92,17.01,1.97,0.21,3,Other,High Risk
3.52,4.5,19.16,60.82,0.07,2,Male,High Risk
62.51,71.12,87.6,92.54,0.83,2,Male,Medium Risk
75.76,90.81,46.99,53.42,3.5,5,Male,Low Risk
64.52,75.82,93.2,89.49,3.63,4,Female,Low Risk
29.93,70.37,40.44,60.0,3.99,1,Other,Medium Risk
97.14,97.32,10.96,76.09,3.17,4,Other,Low Risk
94.82,94.83,95.35,6.7,2.31,6,Other,Low Risk
66.49,52.09,68.9,51.44,2.79,6,Female,Medium Risk
88.05,77.09,75.79,69.83,3.25,2,Male,Low Risk
73.85,77.37,64.8,57.76,3.25,5,Male,Low Risk
87.78,41.25,78.32,86.18,2.27,7,Female,Medium Risk
54.78,64.2,92.19,60.24,2.84,5,Male,Medium Risk
87.98,64.26,85.42,97.64,3.48,2,Male,Low Risk
86.61,86.61,90.0,84.32,3.67,2,Male,Low Risk
62.42,84.97,68.14,86.18,2.97,5,Other,Low Risk
77.35,53.46,50.95,72.25,2.4,7,Female,Medium Risk
94.27,28.13,55.86,77.05,3.68,7,Female,Low Risk
96.09,92.19,76.46,98.33,2.33,2,Male,Low Risk
66.42,55.4,62.33,79.33,2.69,5,Male,Medium Risk
95.05,82.92,27.72,5.33,3.76,6,Other,Medium Risk
91.17,57.28,72.63,80.63,2.69,8,Female,Low Risk
72.13,95.69,17.86,95.03,0.26,6,Female,Medium Risk
91.62,50.19,86.04,71.51,2.33,5,Female,Low Risk
76.18,58.95,78.13,62.08,2.06,5,Female,Medium Risk
92.65,45.86,65.86,85.98,2.91,6,Female,Low Risk
73.44,69.16,51.28,68.35,2.75,2,Female,Medium Risk
69.71,93.54,96.76,64.87,2.15,6,Female,Low Risk
88.51,90.4,53.75,65.0,3.72,1,Female,Low Risk
71.16,58.99,95.1,69.13,3.08,6,Female,Low Risk
65.93,87.55,89.62,75.12,3.37,4,Male,Low Risk
72.47,80.48,97.64,92.81,2.4,1,Male,Low Risk
70.32,41.14,66.76,61.46,3.51,1,Female,Medium Risk
86.91,68.05,88.07,77.03,3.31,2,Female,Low Risk
57.7,77.81,71.14,53.53,2.77,4,Female,Medium Risk
68.4,84.26,56.2,96.04,2.27,1,Male,Low Risk
65.17,28.46,32.69,94.73,3.44,3,Female,Medium Risk
71.12,99.48,71.46,72.38,3.34,3,Female,Low Risk
86.67,87.62,79.05,38.81,3.77,1,Male,Low Risk
82.14,77.02,99.41,60.98,2.77,2,Female,Low Risk
51.9,87.8,63.38,83.8,3.07,3,Male,Low Risk
87.1,91.76,62.41,83.88,2.47,3,Female,Low Risk
79.84,78.71,63.79,91.15,3.02,4,Male,Low Risk
97.17,41.77,80.15,89.72,3.14,7,Female,Low Risk
59.99,94.87,73.47,88.44,2.73,2,Male,Low Risk
61.27,82.55,97.95,87.27,2.42,5,Male,Low Risk
92.47,82.26,3.7,37.27,0.19,3,Male,High Risk
61.66,81.96,65.33,50.81,2.21,5,Male,Medium Risk
29.3,95.34,39.51,80.01,3.87,6,Other,Medium Risk
89.2,40.99,91.72,58.62,3.27,2,Female,Low Risk
96.14,93.15,43.41,22.86,3.34,3,Female,Low Risk
55.23,21.17,81.95,49.86,0.14,6,Other,High Risk
65.67,45.75,78.72,80.82,2.25,2,Female,Medium Risk
99.34,61.59,78.67,98.84,3.9,8,Female,Low Risk
12.33,77.31,6.16,46.46,3.78,5,Male,Medium Risk
61.81,96.34,58.75,67.8,3.93,8,Female,Low Risk
88.23,93.19,63.07,3.84,3.1,6,Other,Low Risk
50.87,93.82,83.74,55.14,2.13,4,Male,Medium Risk
59.58,64.49,61.43,72.25,2.56,7,Male,Medium Risk
72.93,72.47,59.9,50.32,2.47,5,Male,Medium Risk
75.29,65.63,93.26,61.8,2.1,4,Female,Medium Risk
57.4,89.2,97.76,63.48,2.19,2,Male,Low Risk
69.06,57.33,77.44,71.63,2.79,1,Male,Medium Risk
94.77,74.71,61.55,75.66,2.79,8,Male,Low Risk
92.9,64.2,86.14,82.53,3.45,1,Female,Low Risk
95.56,64.53,81.27,50.15,3.91,5,Female,Low Risk
88.04,50.06,69.96,83.75,2.44,5,Female,Low Risk
33.12,18.87,72.73,46.85,0.13,2,Other,High Risk
65.35,74.69,74.68,71.26,2.79,7,Male,Low Risk
96.97,50.84,86.85,51.99,2.18,2,Female,Medium Risk
45.39,24.78,23.67,74.6,3.27,8,Male,Medium Risk
30.3,22.21,19.68,37.39,2.42,5,Other,High Risk
59.81,71.79,61.29,77.82,2.52,3,Male,Medium Risk
36.42,31.44,15.76,14.78,3.74,5,Female,High Risk
16.16,58.61,11.88,78.91,1.13,6,Other,High Risk
88.04,79.91,20.56,71.64,3.5,2,Other,Low Risk
68.3,64.95,76.91,64.74,2.2,5,Male,Medium Risk
60.19,68.11,82.36,95.23,2.28,7,Female,Medium Risk
12.2,70.24,79.39,38.6,0.09,6,Other,High Risk
53.51,69.97,80.7,99.28,2.01,8,Female,Medium Risk
63.22,74.73,95.69,42.24,2.59,7,Female,Medium Risk
99.67,98.53,89.64,80.74,3.09,4,Male,Low Risk
64.69,43.81,75.11,88.18,2.83,8,Female,Medium Risk
93.85,64.81,92.8,86.6,3.39,3,Female,Low Risk
65.63,55.13,51.16,77.03,3.77,7,Female,Low Risk
87.02,55.08,84.0,92.96,2.72,1,Male,Low Risk
75.72,52.46,62.46,85.06,3.54,2,Male,Low Risk
84.08,92.12,81.41,98.97,4.0,2,Male,Low Risk
88.93,84.19,68.64,70.95,2.81,4,Female,Low Risk
50.39,95.04,79.97,85.29,3.27,4,Male,Low Risk
90.66,70.55,74.18,88.75,3.17,4,Female,Low Risk
62.67,92.14,39.23,87.47,3.97,4,Female,Low Risk
96.55,61.98,88.71,55.34,3.36,4,Female,Low Risk
62.32,80.95,77.34,82.76,3.77,2,Female,Low Risk
16.27,36.42,84.87,19.06,3.29,8,Male,High Risk
68.81,97.61,20.24,39.29,3.86,6,Other,Medium Risk
50.07,63.79,83.94,62.36,2.37,7,Male,Medium Risk
58.59,42.63,50.58,99.31,3.04,5,Female,Medium Risk
6.74,93.15,12.38,19.8,3.06,7,Male,High Risk
27.48,88.66,18.76,8.48,1.37,4,Other,High Risk
72.52,70.81,73.86,31.72,3.56,2,Female,Low Risk
74.51,80.21,77.39,87.96,3.48,6,Male,Low Risk
79.13,91.48,81.78,63.02,2.32,1,Male,Low Risk
90.38,81.21,55.53,64.06,3.7,2,Female,Low Risk
89.21,37.65,86.93,89.62,2.71,4,Other,Low Risk
54.41,73.37,53.72,81.65,2.42,2,Female,Medium Risk
93.25,91.35,79.74,11.67,2.3,7,Male,Medium Risk
58.56,77.5,92.53,65.26,2.36,1,Male,Medium Risk
1.68,27.1,77.74,91.0,1.75,7,Male,High Risk
61.28,18.12,32.62,19.57,2.79,7,Female,High Risk
59.45,95.2,90.65,74.94,0.08,6,Female,Medium Risk
82.74,33.65,66.71,36.62,0.17,4,Female,High Risk
27.14,35.76,47.89,49.39,3.42,1,Other,High Risk
42.07,54.83,57.86,31.2,0.22,7,Male,High Risk
98.24,85.76,90.51,99.62,2.47,2,Female,Low Risk
71.37,66.17,91.56,61.29,3.76,1,Female,Low Risk
89.45,44.54,85.13,52.02,3.83,5,Female,Low Risk
92.71,95.08,12.69,70.55,2.59,7,Male,Low Risk
70.65,89.97,84.86,87.18,3.29,7,Female,Low Risk
80.6,89.6,68.1,78.88,2.89,2,Male,Low Risk
62.7,91.78,68.59,89.16,2.11,7,Male,Low Risk
60.86,91.24,75.19,82.63,2.69,1,Female,Low Risk
17.02,72.45,56.73,40.15,2.78,7,Other,Medium Risk
94.46,52.94,74.53,86.35,2.81,7,Female,Low Risk
53.82,80.19,57.62,82.17,2.77,1,Female,Medium Risk
94.11,85.54,50.45,63.6,3.72,7,Male,Low Risk
94.35,85.81,82.42,72.98,3.88,3,Female,Low Risk
90.33,93.29,87.06,65.22,3.19,7,Female,Low Risk
71.33,76.87,80.65,79.64,3.94,1,Female,Low Risk
76.04,4.21,31.29,68.44,1.32,1,Male,High Risk
99.34,51.46,56.37,87.19,2.37,2,Female,Low Risk
66.34,92.24,60.62,94.28,3.74,4,Male,Low Risk
71.92,70.78,74.29,54.07,3.28,1,Female,Low Risk
52.68,42.57,67.42,65.92,2.14,1,Female,Medium Risk
85.02,99.62,78.02,73.36,3.88,2,Male,Low Risk
88.33,91.92,59.19,92.26,3.94,7,Male,Low Risk
52.16,49.91,78.06,53.27,2.88,6,Male,Medium Risk
58.61,53.43,75.4,91.12,3.2,5,Male,Low Risk
100.0,66.24,51.02,95.27,3.11,7,Female,Low Risk
24.42,80.53,21.44,90.58,2.83,4,Male,Medium Risk
75.71,56.94,50.52,82.61,3.97,2,Male,Low Risk
56.82,86.13,75.12,94.66,3.61,2,Male,Low Risk
77.64,44.11,72.0,53.65,2.75,2,Male,Medium Risk
80.48,71.29,61.38,93.7,2.24,8,Male,Low Risk
84.95,50.37,51.35,78.54,2.72,4,Female,Medium Risk
91.55,85.32,98.7,54.65,2.93,4,Male,Low Risk
59.65,63.79,56.24,67.7,3.04,7,Female,Medium Risk
77.28,94.49,83.9,32.33,3.99,5,Male,Low Risk
68.48,24.77,46.03,64.49,1.29,5,Other,High Risk
63.21,59.93,99.7,96.81,3.36,1,Male,Low Risk
10.92,69.07,13.93,14.63,0.92,6,Other,High Risk
76.2,76.45,62.46,50.77,3.84,3,Female,Low Risk
68.96,51.11,65.41,53.2,3.27,1,Male,Medium Risk
55.68,93.04,56.12,64.21,3.93,5,Male,Low Risk
27.86,83.64,69.1,70.67,2.11,8,Other,Medium Risk
62.18,76.64,61.99,96.23,3.43,2,Male,Low Risk
23.86,84.94,5.72,80.1,3.71,1,Other,Medium Risk
37.43,34.39,0.56,98.22,2.43,8,Female,High Risk
22.18,34.52,89.85,43.16,1.67,5,Female,High Risk
60.63,93.88,34.46,55.7,1.19,2,Male,Medium Risk
85.3,98.87,72.77,52.16,3.99,6,Female,Low Risk
74.25,9.38,97.86,94.84,3.52,2,Other,Low Risk
49.74,99.31,81.23,94.6,3.3,3,Female,Low Risk
74.77,90.25,26.3,90.15,0.43,7,Other,Medium Risk
53.78,45.43,92.16,93.61,3.75,7,Male,Low Risk
60.1,78.35,75.35,93.05,2.74,1,Male,Low Risk
77.5,54.75,84.33,86.47,2.87,1,Male,Low Risk
73.94,52.37,81.21,55.27,3.32,8,Male,Low Risk
69.61,44.87,72.71,69.03,2.19,8,Male,Medium Risk
96.15,41.2,82.37,58.65,2.69,3,Female,Low Risk
55.26,98.31,96.66,86.9,3.62,1,Male,Low Risk
88.47,67.42,93.71,71.76,2.1,5,Female,Low Risk
56.4,99.81,50.62,58.48,3.9,2,Male,Low Risk
87.48,98.0,90.38,81.01,2.7,5,Male,Low Risk
34.48,59.04,50.66,14.86,1.79,2,Female,High Risk
52.38,72.32,78.18,59.97,2.5,8,Female,Medium Risk
16.92,74.56,55.7,17.5,2.87,5,Other,High Risk
72.01,96.94,82.97,83.0,2.27,3,Male,Low Risk
93.57,65.5,70.58,30.85,3.59,4,Other,Low Risk
88.92,43.67,85.72,74.92,3.45,4,Male,Low Risk
56.77,52.25,70.91,97.16,3.24,3,Female,Low Risk
76.67,44.16,85.68,68.51,2.35,7,Male,Medium Risk
88.6,57.34,51.8,59.21,2.94,4,Male,Medium Risk
65.24,31.62,78.74,54.91,1.73,5,Female,Medium Risk
67.91,54.06,78.4,81.69,3.54,4,Female,Low Risk
55.67,93.38,92.68,78.44,3.39,7,Female,Low Risk
88.27,81.11,81.64,56.24,3.93,1,Female,Low Risk
87.21,80.15,70.7,73.57,3.21,2,Male,Low Risk
99.79,70.98,79.53,81.56,2.55,3,Female,Low Risk
90.97,46.26,87.95,92.15,3.54,5,Male,Low Risk
83.61,40.26,80.12,62.59,3.36,6,Male,Low Risk
86.78,64.0,64.44,63.35,3.35,6,Male,Low Risk
96.62,35.78,99.91,63.84,2.99,8,Male,Low Risk
51.77,99.17,98.48,62.92,2.84,6,Male,Low Risk
90.44,66.06,96.9,71.03,3.09,8,Female,Low Risk
79.95,80.64,68.05,55.46,2.06,2,Male,Medium Risk
96.33,57.2,53.51,67.96,3.02,8,Female,Low Risk
55.79,72.04,55.04,85.89,3.64,6,Female,Low Risk
77.67,93.14,97.53,81.96,3.87,7,Female,Low Risk
83.33,51.04,70.85,97.57,2.07,2,Male,Medium Risk
77.24,58.0,81.33,64.12,2.56,6,Male,Medium Risk
64.89,91.46,51.39,69.87,3.99,7,Female,Low Risk
91.55,97.51,99.66,57.91,3.04,6,Female,Low Risk
63.87,82.66,59.69,74.86,1.12,8,Other,Medium Risk
93.07,91.72,81.85,79.7,2.44,2,Male,Low Risk
79.64,77.9,96.22,86.06,3.94,3,Male,Low Risk
59.97,25.11,61.21,89.97,0.0,5,Male,High Risk
77.28,50.0,88.04,97.34,3.27,1,Female,Low Risk
12.04,65.44,41.77,71.81,0.21,1,Female,High Risk
59.13,94.29,98.39,75.4,2.31,2,Female,Low Risk
75.06,75.52,88.6,91.92,2.71,5,Male,Low Risk
77.05,37.85,88.67,92.27,3.47,1,Female,Low Risk
51.45,56.29,75.75,70.02,2.52,3,Female,Medium Risk
8.59,60.95,14.29,49.32,0.96,1,Male,High Risk
55.15,71.64,84.94,90.69,3.64,8,Female,Low Risk
35.33,78.75,83.21,82.12,1.67,4,Male,Medium Risk
34.82,63.94,52.01,12.9,3.48,8,Female,Medium Risk
31.94,17.5,18.87,90.15,3.14,6,Female,High Risk
67.43,86.26,68.72,51.81,3.34,8,Male,Low Risk
70.35,78.03,89.19,62.34,3.8,7,Male,Low Risk
93.06,93.09,62.4,41.27,2.24,3,Female,Low Risk
11.8,99.89,25.99,89.6,2.44,7,Other,Medium Risk
79.05,27.91,80.67,84.77,3.4,3,Other,Low Risk
12.39,4.09,77.73,48.97,3.94,7,Female,High Risk
6.89,59.33,98.91,94.69,0.42,1,Female,High Risk
90.45,65.92,70.9,59.89,2.68,4,Female,Low Risk
51.33,51.57,82.89,58.03,3.74,8,Male,Medium Risk
41.67,60.06,60.89,64.52,2.79,1,Male,Medium Risk
61.69,67.85,93.58,81.07,3.93,7,Female,Low Risk
50.99,46.56,62.34,87.37,3.22,2,Male,Medium Risk
89.9,97.36,53.49,73.67,2.41,5,Female,Low Risk
81.28,57.74,87.13,81.12,2.19,3,Female,Low Risk
57.27,51.23,75.84,80.74,2.38,6,Male,Medium Risk
18.09,90.71,4.46,23.29,1.17,2,Female,High Risk
97.79,41.16,79.37,8.48,2.22,5,Other,Medium Risk
77.86,10.5,39.83,83.49,1.62,2,Male,Medium Risk
64.58,43.37,99.69,83.65,2.62,8,Female,Medium Risk
42.2,71.29,76.55,9.49,3.41,5,Other,Medium Risk
96.02,78.39,65.58,92.42,3.68,8,Female,Low Risk
55.37,54.12,61.82,71.49,3.67,8,Male,Medium Risk
72.22,55.65,84.3,96.35,3.35,5,Male,Low Risk
87.77,80.89,97.75,63.55,3.37,5,Female,Low Risk
69.26,89.3,76.91,34.26,2.83,5,Male,Medium Risk
76.87,80.96,91.95,71.0,3.35,2,Female,Low Risk
96.51,55.89,30.0,85.15,3.56,6,Male,Low Risk
88.29,78.74,53.82,91.08,2.92,3,Female,Low Risk
84.84,98.2,55.09,76.63,3.74,4,Female,Low Risk
86.17,90.63,47.9,17.05,1.31,1,Male,Medium Risk
86.22,43.01,55.29,54.96,2.58,2,Male,Medium Risk
53.99,85.24,58.51,92.0,2.98,3,Other,Low Risk
50.97,53.8,76.68,92.17,2.72,3,Female,Medium Risk
93.25,64.6,95.06,81.74,3.71,2,Female,Low Risk
66.23,95.19,79.86,71.9,2.86,6,Female,Low Risk
76.5,73.73,9.52,59.5,2.63,3,Other,Medium Risk
42.73,79.7,4.2,61.77,2.84,2,Other,Medium Risk
99.83,50.57,65.7,53.52,3.72,8,Male,Low Risk
47.02,61.29,88.56,30.17,1.95,4,Male,Medium Risk
74.81,96.02,99.87,85.6,2.67,7,Male,Low Risk
86.92,66.04,81.61,93.71,3.73,7,Male,Low Risk
59.16,60.63,84.15,55.72,3.6,3,Male,Low Risk
88.7,38.52,99.65,15.26,2.08,7,Female,Medium Risk
67.04,80.6,99.94,98.92,2.24,3,Female,Low Risk
25.67,96.98,78.47,96.76,3.35,2,Male,Low Risk
96.56,72.77,92.97,63.43,1.99,3,Other,Low Risk
95.01,60.81,51.74,90.77,2.04,6,Female,Low Risk
79.73,42.6,80.64,96.38,3.52,2,Male,Low Risk
66.28,56.54,56.74,97.26,3.81,8,Female,Low Risk
98.23,42.53,57.94,78.99,3.19,2,Male,Low Risk
