attendance,internal_marks,assignment_score,quiz_score,previous_gpa,semester,gender,performance_score,AcademicRisk
11.14,57.76,16.0,52.82,2.21,8,Female,38.47,High Risk
5.51,3.43,56.86,20.33,2.42,8,Other,28.77,High Risk
80.64,83.1,87.87,65.0,2.06,8,Other,72.59,Low Risk
27.33,6.18,37.68,81.02,2.88,5,Other,43.87,High Risk
75.55,61.65,81.14,77.4,3.21,5,Other,75.06,Low Risk
16.03,77.29,24.31,84.28,2.35,1,Female,50.44,Medium Risk
47.75,76.14,90.33,72.07,3.85,5,Other,75.59,Low Risk
73.76,90.3,75.67,37.22,2.93,2,Female,71.75,Low Risk
89.01,25.27,32.68,30.54,2.26,3,Female,50.91,Medium Risk
34.27,64.91,49.77,9.32,0.29,8,Male,32.23,High Risk
97.19,82.41,55.03,16.09,3.52,5,Female,73.45,Low Risk
7.3,7.32,45.12,24.51,3.85,7,Other,37.8,High Risk
51.27,94.5,39.81,95.45,3.85,7,Male,76.07,Low Risk
7.75,86.77,78.0,25.45,3.13,1,Female,54.37,Medium Risk
3.32,5.16,69.5,97.31,1.82,8,Male,38.26,High Risk
83.67,96.64,6.65,24.33,1.2,7,Female,52.39,Medium Risk
7.57,35.93,0.87,98.12,3.61,6,Male,46.49,High Risk
96.12,10.48,52.9,27.26,1.06,5,Female,44.77,High Risk
58.11,34.69,59.09,2.28,3.83,4,Female,54.61,Medium Risk
74.29,23.71,82.97,54.58,3.04,8,Female,62.95,Medium Risk
31.77,8.29,15.85,41.71,3.52,5,Male,40.23,High Risk
28.21,64.9,69.06,52.64,2.44,8,Female,53.54,Medium Risk
1.21,55.65,51.23,80.74,1.42,6,Female,40.1,High Risk
85.67,14.04,58.4,40.66,0.68,7,Male,43.33,High Risk
63.26,98.16,96.62,61.69,1.87,3,Male,70.88,Low Risk
47.74,58.31,68.65,91.2,1.22,2,Male,55.2,Medium Risk
91.01,18.1,39.29,64.71,1.68,8,Male,52.47,Medium Risk
29.95,23.21,62.0,78.68,0.23,1,Other,34.67,High Risk
0.79,2.52,88.22,64.53,3.05,6,Other,42.68,High Risk
50.42,52.83,65.79,38.49,0.01,2,Other,38.88,High Risk
8.84,24.87,5.84,79.0,2.05,2,Female,32.72,High Risk
16.3,65.88,52.66,27.09,2.22,1,Female,43.09,High Risk
5.54,3.99,22.74,84.28,2.49,1,Female,33.8,High Risk
84.78,35.9,81.93,75.69,3.72,6,Female,75.27,Low Risk
15.43,94.11,16.74,62.66,1.3,4,Female,42.71,High Risk
94.06,90.51,36.47,47.96,3.66,8,Other,77.16,Low Risk
33.65,91.76,39.83,88.75,1.85,1,Male,57.61,Medium Risk
24.42,80.53,21.44,90.58,2.83,4,Male,56.7,Medium Risk
74.96,52.46,7.65,24.47,3.53,4,Male,56.11,Medium Risk
24.37,86.03,78.06,99.43,1.26,1,Male,57.8,Medium Risk
92.08,59.98,22.73,1.76,2.48,2,Other,54.19,Medium Risk
87.38,35.76,68.21,63.78,3.94,2,Male,73.42,Low Risk
13.83,11.72,6.9,76.5,3.14,4,Other,37.94,High Risk
28.91,70.0,0.73,35.54,2.46,7,Male,42.04,High Risk
99.12,93.95,12.57,41.51,2.6,3,Other,67.93,Medium Risk
89.64,95.1,58.12,80.05,3.62,6,Male,84.78,Low Risk
99.99,76.93,53.74,25.48,1.29,6,Female,60.33,Medium Risk
99.92,79.97,48.05,66.58,2.81,5,Male,75.73,Low Risk
53.66,43.46,13.18,12.57,3.81,1,Female,49.78,High Risk
70.36,82.01,46.54,98.72,3.52,1,Male,77.78,Low Risk
21.62,74.31,99.74,99.87,3.85,4,Other,74.27,Low Risk
21.52,58.58,19.55,67.95,0.86,8,Male,35.6,High Risk
84.29,98.87,84.99,49.4,3.48,4,Female,82.75,Low Risk
95.33,66.6,94.66,96.25,2.6,7,Other,82.04,Low Risk
92.24,8.78,11.4,92.96,3.79,3,Male,64.16,Medium Risk
85.87,35.15,97.55,21.6,3.8,3,Other,70.12,Low Risk
59.78,44.19,24.45,88.28,1.5,1,Female,50.07,Medium Risk
90.55,56.35,6.78,27.08,2.83,8,Female,56.67,Medium Risk
87.75,4.59,99.25,24.78,1.24,5,Male,49.21,High Risk
83.99,7.85,15.99,38.1,3.42,6,Male,52.06,Medium Risk
48.67,22.62,28.88,13.65,3.67,1,Male,46.01,High Risk
31.42,14.13,26.69,85.97,2.41,6,Female,42.64,High Risk
43.37,41.16,31.22,32.57,2.75,1,Male,45.83,High Risk
91.24,53.72,62.6,20.19,3.2,7,Female,65.97,Medium Risk
41.17,18.77,75.63,32.14,2.36,7,Female,44.96,High Risk
65.59,27.5,6.49,5.49,2.33,7,Male,38.26,High Risk
45.13,63.24,15.95,67.33,1.08,8,Male,43.17,High Risk
75.75,96.56,4.9,22.3,3.18,1,Male,62.2,Medium Risk
52.47,88.31,29.23,52.08,1.36,6,Other,51.48,Medium Risk
3.85,68.04,56.27,2.65,2.97,2,Other,41.97,High Risk
4.46,85.9,7.75,52.9,1.81,2,Other,38.7,High Risk
14.09,0.55,85.69,86.32,0.38,1,Male,31.81,High Risk
91.71,83.12,28.87,86.72,2.16,6,Female,70.39,Low Risk
94.15,12.07,89.61,10.04,1.06,2,Other,47.52,High Risk
74.59,64.19,28.09,96.71,3.24,6,Male,70.46,Low Risk
86.01,81.23,52.8,84.71,2.68,2,Male,75.12,Low Risk
3.19,82.52,50.6,32.66,0.05,6,Male,30.1,High Risk
89.18,56.69,81.91,62.48,3.16,7,Female,75.04,Low Risk
69.38,63.15,99.51,56.89,3.23,1,Female,73.62,Low Risk
84.5,81.91,82.35,84.42,3.52,1,Female,84.52,Low Risk
78.79,88.86,63.98,26.97,3.9,4,Other,75.49,Low Risk
52.76,76.26,33.47,27.51,3.13,6,Male,57.15,Medium Risk
84.97,99.88,22.39,28.69,1.0,6,Male,55.13,Medium Risk
23.51,95.46,70.86,91.98,3.43,2,Female,70.83,Low Risk
26.73,61.24,7.02,33.66,3.22,3,Male,45.16,High Risk
78.99,6.45,25.39,23.01,3.94,2,Other,52.92,Medium Risk
94.41,4.66,76.01,73.72,3.99,3,Female,71.93,Low Risk
77.34,70.98,91.2,97.09,2.91,5,Female,79.96,Low Risk
71.87,63.48,67.84,76.72,3.79,7,Female,76.03,Low Risk
80.75,97.78,36.29,84.93,3.46,2,Male,79.55,Low Risk
79.5,72.18,47.71,77.46,3.86,3,Female,77.21,Low Risk
97.62,3.28,73.23,77.3,0.27,5,Male,49.33,High Risk
34.85,88.01,72.14,89.89,3.24,4,Other,70.87,Low Risk
6.26,75.5,51.38,7.47,2.72,5,Other,42.49,High Risk
74.69,30.23,56.15,16.93,3.28,6,Other,56.18,Medium Risk
64.1,57.45,81.1,80.52,3.2,7,Other,71.76,Low Risk
77.95,66.46,98.74,9.96,3.63,2,Other,71.77,Low Risk
77.77,10.76,11.82,65.75,2.77,3,Other,50.54,Medium Risk
51.64,38.52,39.49,54.79,1.42,5,Other,43.63,High Risk
60.6,15.73,15.47,85.63,1.25,1,Female,41.27,High Risk
83.93,18.51,74.53,92.82,3.29,2,Male,70.35,Low Risk
39.2,85.42,41.4,57.05,0.0,5,Female,41.65,High Risk
92.36,47.74,39.96,86.15,3.38,1,Other,72.68,Low Risk
69.19,55.92,0.1,3.51,3.96,6,Other,53.77,Medium Risk
24.03,25.07,60.72,93.99,1.19,2,Female,41.67,High Risk
36.1,75.95,26.4,83.47,0.3,7,Other,42.57,High Risk
87.45,7.42,98.74,53.79,3.93,2,Other,70.79,Low Risk
38.27,69.0,22.99,65.19,1.6,6,Male,46.59,High Risk
63.54,60.15,14.32,19.33,2.73,7,Other,50.02,Medium Risk
82.39,56.62,21.81,97.02,3.79,7,Female,73.43,Low Risk
5.05,86.74,30.58,61.89,3.04,5,Male,51.48,Medium Risk
94.21,83.51,24.31,95.47,2.1,6,Female,71.35,Low Risk
11.83,54.78,69.6,3.22,1.79,7,Other,36.02,High Risk
68.68,72.09,37.18,90.95,3.2,1,Female,70.81,Low Risk
79.61,14.14,51.84,9.66,2.53,6,Male,47.77,High Risk
18.5,44.04,0.48,69.29,1.18,1,Female,31.27,High Risk
71.53,12.0,98.07,2.25,2.51,7,Other,51.02,Medium Risk
47.93,6.21,25.81,80.4,3.01,5,Other,47.97,High Risk
65.54,85.41,78.28,85.72,3.04,8,Other,77.07,Low Risk
30.93,16.53,37.34,48.09,2.88,2,Other,41.85,High Risk
97.92,12.24,45.85,49.42,0.67,4,Female,45.41,High Risk
21.66,69.19,68.68,53.92,3.74,4,Female,61.02,Medium Risk
86.03,56.14,52.28,69.77,2.11,7,Female,64.23,Medium Risk
52.02,25.85,48.67,14.61,2.26,3,Male,41.79,High Risk
40.35,64.84,54.95,87.48,0.07,1,Other,44.86,High Risk
7.66,60.41,98.66,67.2,2.84,5,Other,56.63,Medium Risk
38.95,8.66,83.86,56.07,2.02,2,Other,45.08,High Risk
2.67,0.53,39.96,88.43,3.28,8,Other,40.53,High Risk
86.01,64.6,8.42,81.01,2.34,8,Female,62.46,Medium Risk
79.04,96.47,64.72,73.84,3.21,3,Other,79.9,Low Risk
75.27,47.88,54.06,94.42,3.91,3,Male,75.1,Low Risk
47.31,29.15,79.05,22.32,2.79,2,Other,50.3,Medium Risk
98.32,89.05,93.15,16.97,3.52,6,Female,80.91,Low Risk
90.26,99.75,48.76,49.54,3.09,3,Male,76.57,Low Risk
35.32,61.52,21.81,66.29,3.07,6,Male,53.54,Medium Risk
57.01,91.3,31.66,50.81,3.45,1,Male,66.45,Medium Risk
94.12,86.11,88.12,25.19,3.19,3,Other,77.69,Low Risk
33.97,4.23,86.87,58.24,1.19,4,Male,38.54,High Risk
91.92,65.55,65.84,84.37,2.61,5,Female,74.93,Low Risk
90.39,83.93,5.76,61.61,3.09,8,Female,68.8,Medium Risk
76.11,78.12,70.23,74.54,3.85,1,Other,80.43,Low Risk
31.46,77.39,76.48,84.43,3.58,2,Female,69.85,Medium Risk
83.04,43.5,49.75,17.6,2.46,6,Male,54.94,Medium Risk
98.34,91.51,39.84,55.61,2.24,4,Male,71.2,Low Risk
54.17,12.89,68.89,94.39,1.71,2,Other,51.3,Medium Risk
11.9,91.68,32.15,60.81,1.86,8,Female,46.88,High Risk
84.6,68.86,84.39,97.19,1.36,1,Male,70.66,Low Risk
15.44,12.39,92.63,1.38,2.41,5,Other,35.5,High Risk
42.21,69.66,22.67,80.08,3.28,1,Male,60.4,Medium Risk
69.81,83.8,4.02,20.18,0.5,6,Female,40.97,High Risk
59.69,68.9,65.35,56.86,3.86,3,Female,71.16,Low Risk
78.58,65.38,98.67,58.56,3.17,8,Female,76.12,Low Risk
36.59,5.22,17.1,61.66,3.1,5,Other,41.38,High Risk
26.13,79.21,19.69,24.22,3.37,1,Other,50.02,Medium Risk
90.05,98.04,88.48,5.1,3.72,3,Female,79.41,Low Risk
36.94,0.11,96.18,54.96,2.39,4,Female,46.87,High Risk
64.26,65.69,83.85,87.16,0.64,1,Female,58.85,Medium Risk
79.25,33.19,59.86,36.21,0.24,7,Male,42.36,High Risk
86.87,73.61,28.59,56.93,3.87,4,Female,73.45,Low Risk
46.98,53.01,52.05,5.94,0.21,8,Female,32.36,High Risk
54.94,12.85,3.45,22.42,1.04,2,Male,26.69,High Risk
30.45,55.29,9.7,84.58,2.47,4,Female,48.25,High Risk
27.63,54.95,21.0,34.37,1.91,2,Female,38.14,High Risk
85.94,74.79,30.8,78.75,3.24,3,Other,73.13,Low Risk
91.11,92.09,40.0,47.35,3.3,3,Male,74.92,Low Risk
98.66,65.17,69.99,32.18,3.43,8,Male,74.46,Low Risk
12.2,70.24,79.39,38.6,0.09,6,Other,35.36,High Risk
65.26,12.44,29.54,91.33,0.35,3,Female,39.12,High Risk
54.78,30.94,69.81,83.34,3.14,5,Other,62.48,Medium Risk
27.84,13.81,73.55,44.54,3.77,6,Female,51.0,Medium Risk
82.54,29.54,45.85,44.23,1.21,5,Other,47.62,High Risk
75.08,75.31,35.63,51.87,3.06,5,Male,66.08,Medium Risk
77.26,71.81,44.6,98.12,2.84,5,Female,72.84,Low Risk
49.55,11.07,25.24,29.48,3.06,3,Other,41.93,High Risk
14.84,50.84,40.4,47.42,0.48,8,Male,30.05,High Risk
66.97,97.16,85.41,75.69,3.72,3,Other,83.59,Low Risk
57.93,62.55,57.04,18.62,2.89,1,Male,56.4,Medium Risk
75.68,98.59,70.29,91.78,1.66,1,Male,73.32,Low Risk
31.77,10.43,41.49,12.39,1.64,6,Female,28.36,High Risk
32.99,14.45,10.34,58.76,0.68,3,Other,25.75,High Risk
13.76,0.44,19.3,23.59,3.2,1,Other,29.96,High Risk
79.04,24.15,86.45,28.02,3.1,2,Male,61.14,Medium Risk
20.44,49.96,52.15,16.18,2.89,7,Male,43.41,High Risk
46.49,42.48,15.32,22.03,0.26,5,Male,27.35,High Risk
18.93,23.02,78.05,77.13,1.53,8,Male,42.18,High Risk
90.42,66.16,30.33,99.78,2.75,3,Other,72.54,Low Risk
62.81,98.16,32.96,80.8,3.86,1,Other,76.52,Low Risk
16.43,13.25,95.41,28.49,1.42,6,Male,34.22,High Risk
19.35,70.86,31.13,99.87,2.93,5,Female,56.97,Medium Risk
59.35,75.91,51.64,80.4,3.36,5,Female,70.83,Low Risk
19.92,94.74,99.78,81.89,1.2,2,Female,58.68,Medium Risk
23.26,36.75,36.64,32.75,1.52,2,Other,33.07,High Risk
75.23,11.94,69.18,66.73,1.48,1,Other,50.83,Medium Risk
54.09,84.42,52.93,78.26,3.83,3,Other,74.02,Low Risk
70.49,89.15,98.0,80.33,2.41,3,Other,77.26,Low Risk
93.11,68.97,73.44,77.29,1.72,1,Female,70.43,Low Risk
89.47,18.6,32.33,58.76,2.87,4,Female,57.69,Medium Risk
17.03,97.86,49.86,49.37,3.88,8,Female,62.96,Medium Risk
0.67,28.82,75.13,79.3,2.48,4,Male,44.6,High Risk
78.55,85.58,75.17,88.55,2.42,5,Male,76.44,Low Risk
47.64,17.74,48.79,10.23,3.49,1,Female,46.12,High Risk
58.95,86.52,31.8,48.35,3.8,5,Other,67.81,Medium Risk
85.19,95.39,42.33,97.31,0.06,6,Male,61.7,Medium Risk
60.81,27.92,45.11,21.99,2.13,8,Female,44.16,High Risk
86.06,16.77,0.75,33.61,3.19,2,Other,49.96,High Risk
31.41,53.68,33.98,47.67,1.06,3,Male,37.46,High Risk
62.68,74.73,89.47,27.26,0.44,1,Other,50.88,Medium Risk
98.0,45.86,78.41,63.64,2.29,4,Male,69.29,Medium Risk
43.11,68.39,60.87,97.21,0.56,8,Female,51.67,Medium Risk
36.95,27.42,72.93,30.97,2.16,8,Other,43.81,High Risk
25.51,51.11,94.86,38.13,3.5,2,Other,58.42,Medium Risk
94.96,67.64,84.5,19.24,3.71,6,Other,76.02,Low Risk
74.6,82.48,12.2,95.58,3.28,4,Male,71.81,Low Risk
84.92,88.25,87.3,55.37,3.74,1,Other,83.66,Low Risk
84.95,33.09,19.51,26.5,1.09,2,Female,41.57,High Risk
92.68,85.65,31.67,83.39,2.3,4,Female,71.93,Low Risk
28.55,45.31,85.66,72.86,1.89,6,Male,51.79,Medium Risk
94.83,22.17,95.32,32.53,2.23,6,Male,61.26,Medium Risk
98.98,59.79,93.13,34.95,2.53,5,Other,71.73,Low Risk
89.6,27.29,63.08,68.63,2.7,2,Female,64.49,Medium Risk
78.9,96.87,23.14,32.17,2.58,3,Male,63.52,Medium Risk
16.79,28.58,33.81,10.58,2.01,4,Male,29.13,High Risk
24.61,6.55,45.51,51.61,1.25,1,Male,29.84,High Risk
54.65,90.46,73.27,54.6,3.99,5,Other,75.87,Low Risk
67.8,4.02,86.7,36.47,0.02,1,Female,36.35,High Risk
74.88,80.14,49.13,89.3,0.58,5,Other,59.14,Medium Risk
75.34,93.6,11.67,92.64,2.41,7,Other,68.26,Medium Risk
71.77,94.82,72.23,98.64,3.84,2,Female,86.54,Low Risk
99.0,29.63,91.15,89.88,3.42,3,Male,79.21,Low Risk
25.81,46.35,36.13,39.05,2.89,6,Female,45.06,High Risk
95.43,14.76,88.93,76.51,2.81,3,Male,69.19,Medium Risk
78.17,30.1,62.28,89.29,0.89,2,Female,53.86,Medium Risk
82.74,33.65,66.71,36.62,0.17,4,Female,43.98,High Risk
29.54,49.36,2.9,25.3,1.5,2,Female,30.86,High Risk
78.11,91.5,94.91,63.02,3.86,5,Other,85.64,Low Risk
83.37,99.1,43.11,43.56,3.41,3,Female,74.98,Low Risk
44.36,75.76,96.89,95.99,3.28,8,Female,75.67,Low Risk
85.25,78.2,18.66,43.7,3.93,8,Female,70.87,Low Risk
11.45,39.5,46.67,13.65,1.64,5,Female,30.06,High Risk
53.63,70.44,67.51,76.07,3.41,5,Other,70.34,Low Risk
42.19,54.88,20.6,40.53,2.54,5,Female,46.57,High Risk
97.99,84.83,84.65,51.72,2.26,1,Other,76.04,Low Risk
50.54,88.62,27.14,77.52,2.65,8,Male,62.62,Medium Risk
86.01,57.64,11.15,70.35,1.72,2,Other,56.01,Medium Risk
73.33,55.79,72.42,68.14,0.94,8,Female,56.45,Medium Risk
60.29,40.46,55.11,88.61,3.65,8,Female,67.53,Medium Risk
36.56,78.79,80.22,91.37,3.45,8,Female,72.2,Low Risk
12.38,38.31,87.95,10.66,1.93,6,Other,37.61,High Risk
15.4,42.28,61.97,93.29,3.92,6,Male,60.09,Medium Risk
95.55,83.46,65.71,23.4,3.04,2,Other,72.95,Low Risk
12.39,4.09,77.73,48.97,3.94,7,Female,47.55,High Risk
87.49,16.59,81.97,3.21,1.57,8,Other,47.78,High Risk
32.6,12.82,98.22,67.67,3.4,6,Other,56.85,Medium Risk
30.41,80.95,93.04,63.11,2.49,8,Female,62.78,Medium Risk
12.86,3.89,3.55,35.02,2.88,4,Male,27.78,High Risk
67.79,93.22,94.08,51.25,3.41,3,Other,78.7,Low Risk
65.05,79.83,92.83,81.53,2.24,8,Female,72.38,Low Risk
90.28,82.68,57.42,48.46,3.97,4,Other,79.8,Low Risk
99.35,63.64,25.32,45.0,3.8,6,Female,71.86,Low Risk
77.99,44.61,93.07,61.22,0.14,3,Male,52.44,Medium Risk
96.06,89.57,74.0,76.7,1.69,6,Female,75.1,Low Risk
0.04,92.1,9.91,68.25,2.52,1,Other,45.9,High Risk
65.51,75.72,52.46,62.46,3.4,7,Other,70.01,Low Risk
68.18,20.12,38.42,14.65,2.21,4,Other,42.84,High Risk
44.59,90.53,78.82,90.07,3.33,7,Other,75.4,Low Risk
53.08,95.17,90.61,80.67,2.78,1,Male,75.37,Low Risk
23.69,2.98,30.81,90.2,3.33,1,Female,45.48,High Risk
32.31,28.68,13.6,54.93,1.79,6,Female,35.28,High Risk
84.57,52.01,84.27,44.64,3.81,3,Female,74.69,Low Risk
33.45,89.08,71.97,92.85,3.63,8,Other,73.59,Low Risk
8.12,1.58,47.72,49.43,1.63,4,Female,27.11,High Risk
36.49,97.5,54.72,75.47,1.29,8,Other,56.21,Medium Risk
41.84,60.32,95.58,53.85,2.92,5,Other,63.19,Medium Risk
60.01,89.69,77.04,59.79,2.86,8,Male,71.34,Low Risk
21.5,70.32,54.7,83.98,2.32,8,Female,54.74,Medium Risk
24.07,15.07,31.62,39.8,0.98,2,Other,25.87,High Risk
62.49,99.89,86.64,87.57,2.72,3,Female,78.73,Low Risk
8.56,31.12,1.25,43.4,2.83,2,Other,32.75,High Risk
45.17,93.89,86.4,74.39,3.67,8,Female,77.13,Low Risk
99.1,17.48,25.53,23.59,3.63,1,Male,58.33,Medium Risk
33.38,16.9,26.05,91.21,1.24,1,Other,37.06,High Risk
78.27,57.87,84.84,96.26,2.44,7,Male,73.56,Low Risk
61.43,44.73,39.86,47.19,2.33,2,Female,51.92,Medium Risk
93.25,64.6,95.06,81.74,3.71,2,Female,85.94,Low Risk
94.81,93.4,60.32,98.49,1.46,8,Male,75.33,Low Risk
92.71,95.08,12.69,70.55,2.59,8,Other,70.87,Low Risk
7.69,57.74,12.59,81.87,3.76,2,Male,51.14,Medium Risk
85.13,30.46,45.05,66.56,0.52,8,Female,47.37,High Risk
37.1,97.78,86.15,50.24,3.35,4,Male,70.23,Low Risk
99.0,12.62,39.25,90.2,3.51,2,Male,68.63,Medium Risk
67.2,76.91,50.58,91.27,2.58,2,Other,69.58,Medium Risk
48.92,7.53,67.79,79.06,3.4,6,Other,57.01,Medium Risk
20.14,60.05,97.99,38.58,2.59,2,Male,53.72,Medium Risk
98.82,36.04,86.53,76.25,3.65,2,Female,79.14,Low Risk
64.87,82.44,22.69,79.99,3.76,6,Female,71.61,Low Risk
38.33,72.97,55.3,93.61,3.12,5,Female,66.01,Medium Risk
58.41,36.16,53.44,0.19,3.39,5,Female,51.07,Medium Risk
89.53,65.1,32.52,94.33,3.89,5,Other,78.74,Low Risk
91.7,49.04,95.63,87.52,3.3,7,Other,80.83,Low Risk
79.54,29.69,84.97,69.12,3.87,6,Male,73.12,Low Risk
92.03,88.72,60.15,97.66,3.5,8,Female,86.3,Low Risk
97.79,41.16,79.37,8.48,2.22,5,Other,59.73,Medium Risk
77.79,82.34,40.13,61.96,1.73,3,Male,62.04,Medium Risk
27.82,5.33,73.79,17.1,1.7,6,Female,32.28,High Risk
19.75,86.09,82.31,90.21,3.51,8,Other,69.97,Medium Risk
60.0,15.2,65.49,43.82,1.34,5,Male,42.81,High Risk
88.21,79.75,86.97,69.84,2.7,5,Female,78.4,Low Risk
14.32,24.65,19.9,22.58,2.62,4,Male,31.26,High Risk
52.84,58.47,83.23,92.71,3.58,7,Male,73.67,Low Risk
40.47,44.87,37.51,3.79,1.17,1,Male,32.6,High Risk
31.09,38.16,62.96,5.55,3.87,3,Male,49.87,High Risk
45.91,0.86,68.81,41.51,2.69,1,Male,45.01,High Risk
66.05,56.77,92.1,55.96,3.35,7,Female,71.01,Low Risk
59.2,67.17,79.18,65.05,1.59,6,Other,59.81,Medium Risk
0.89,70.82,61.11,55.26,3.14,8,Male,51.47,Medium Risk
62.31,42.01,38.4,93.12,0.6,4,Other,47.46,High Risk
67.45,69.86,52.51,14.77,3.68,2,Male,63.93,Medium Risk
93.86,77.32,60.89,50.67,3.72,6,Female,78.91,Low Risk
55.03,7.82,84.98,61.38,2.46,4,Female,52.65,Medium Risk
78.44,40.43,82.48,60.34,3.45,3,Male,70.68,Low Risk
95.45,31.52,35.43,22.28,0.34,8,Other,40.95,High Risk
2.77,3.82,13.42,57.05,3.23,1,Other,32.21,High Risk
88.4,82.67,54.67,2.24,2.25,2,Male,61.23,Medium Risk
30.4,38.1,98.93,61.88,2.18,6,Male,52.97,Medium Risk
87.9,33.67,67.91,75.65,1.31,8,Other,58.43,Medium Risk
95.61,96.83,64.58,63.33,2.21,2,Female,76.27,Low Risk
99.01,24.26,27.42,81.35,0.64,5,Female,49.92,High Risk
81.49,27.63,99.29,93.7,1.72,2,Male,65.6,Medium Risk
94.93,32.41,56.38,25.74,2.48,6,Female,58.03,Medium Risk
91.07,22.39,31.07,16.06,1.23,2,Male,42.0,High Risk
69.16,30.66,88.82,41.08,1.5,7,Other,52.28,Medium Risk
65.78,65.09,90.44,92.83,2.38,3,Female,71.83,Low Risk
9.51,72.57,8.45,93.59,0.55,8,Other,35.63,High Risk
95.27,53.09,91.18,76.66,3.29,6,Other,80.17,Low Risk
38.42,40.01,64.01,73.78,3.52,5,Other,60.28,Medium Risk
34.79,56.54,35.14,94.21,1.02,6,Male,45.78,High Risk
92.67,78.45,79.59,87.61,1.78,7,Other,75.06,Low Risk
77.06,31.71,65.4,48.15,2.01,1,Male,55.2,Medium Risk
70.16,41.34,79.55,95.37,2.95,2,Other,70.48,Low Risk
77.38,39.27,3.29,11.61,0.15,1,Male,30.37,High Risk
40.3,47.7,24.53,6.62,2.71,5,Male,41.23,High Risk
17.2,89.03,47.0,47.61,3.74,4,Male,59.67,Medium Risk
82.66,90.68,29.35,93.13,2.43,6,Other,72.36,Low Risk
14.34,81.03,70.49,53.03,1.5,5,Other,47.69,High Risk
47.41,22.56,57.25,56.58,2.81,5,Female,51.0,Medium Risk
22.34,53.1,37.84,48.04,3.05,1,Male,48.15,High Risk
72.7,85.45,40.0,66.86,1.6,2,Female,61.29,Medium Risk
54.26,81.65,78.18,68.12,3.31,1,Other,72.53,Low Risk
56.5,14.59,50.97,11.34,1.94,2,Male,38.51,High Risk
53.15,80.07,59.52,78.31,2.62,6,Other,66.35,Medium Risk
94.6,82.43,65.77,7.12,3.43,7,Other,72.51,Low Risk
46.91,65.08,12.82,93.06,2.02,4,Other,53.25,Medium Risk
17.33,58.4,42.06,1.52,0.28,6,Male,24.3,High Risk
91.24,76.85,77.5,73.3,1.57,6,Other,70.61,Low Risk
58.41,64.98,8.44,41.58,0.17,2,Female,36.16,High Risk
17.99,87.84,71.02,57.22,3.52,5,Male,63.3,Medium Risk
81.59,26.23,54.15,63.9,3.85,3,Female,67.41,Medium Risk
61.78,0.5,18.43,63.55,1.52,2,Other,37.34,High Risk
84.72,58.41,48.24,83.89,3.79,8,Other,76.37,Low Risk
17.02,69.49,36.33,1.59,3.95,3,Female,48.53,High Risk
55.86,12.03,81.68,27.47,2.2,6,Female,46.49,High Risk
98.75,98.17,57.34,77.22,1.0,6,Male,70.76,Low Risk
12.79,25.77,90.7,51.86,3.19,2,Other,49.67,High Risk
90.93,74.59,68.18,4.95,0.52,3,Female,51.87,Medium Risk
88.3,39.06,48.24,96.01,3.19,2,Other,71.46,Low Risk
3.69,15.76,95.29,57.54,1.96,8,Female,39.25,High Risk
88.45,95.18,42.79,78.41,3.31,1,Male,80.02,Low Risk
89.36,85.13,92.0,26.9,3.94,6,Other,81.83,Low Risk
2.83,55.87,28.25,59.67,1.74,1,Other,35.94,High Risk
92.58,79.39,73.67,48.77,3.6,2,Female,79.89,Low Risk
95.81,64.13,95.25,48.04,3.21,1,Female,78.33,Low Risk
41.73,92.09,95.51,85.61,3.73,1,Female,79.33,Low Risk
96.23,83.11,26.89,37.58,3.58,4,Male,72.73,Low Risk
13.95,23.26,97.5,77.1,3.75,8,Other,57.77,Medium Risk
23.55,49.67,72.98,20.27,0.85,2,Other,35.12,High Risk
92.36,35.19,59.17,92.25,2.87,7,Male,70.78,Low Risk
90.56,27.86,64.79,4.05,1.98,1,Female,50.91,Medium Risk
28.34,33.8,60.48,58.36,1.02,8,Male,38.05,High Risk
54.81,55.66,5.76,59.8,1.72,3,Other,45.42,High Risk
80.47,72.1,35.85,28.3,1.69,2,Male,54.72,Medium Risk
58.49,90.17,29.02,86.5,3.83,2,Other,73.92,Low Risk
23.55,33.77,31.36,78.56,0.19,7,Female,30.32,High Risk
59.01,9.5,61.62,17.13,2.26,1,Female,42.59,High Risk
88.48,59.04,8.21,16.08,0.31,5,Male,39.51,High Risk
88.38,91.26,88.05,14.32,1.65,6,Other,66.02,Medium Risk
92.28,89.72,36.45,74.99,3.75,5,Male,81.17,Low Risk
45.89,53.35,33.36,25.17,0.56,6,Female,34.42,High Risk
78.64,57.3,30.87,3.55,3.28,6,Male,56.78,Medium Risk
36.86,45.6,12.44,2.06,3.98,3,Other,45.39,High Risk
90.78,88.59,86.12,74.6,3.67,4,Female,87.46,Low Risk
92.4,72.11,78.17,76.02,1.73,4,Female,71.46,Low Risk
55.27,43.23,82.67,90.91,3.73,3,Female,71.81,Low Risk
82.44,92.57,20.13,92.96,0.07,3,Other,56.52,Medium Risk
93.76,96.35,61.63,37.86,3.33,2,Male,78.45,Low Risk
42.38,26.41,61.66,48.57,0.45,5,Other,35.22,High Risk
9.52,45.32,33.97,18.04,2.86,3,Female,37.12,High Risk
10.53,12.59,28.1,1.19,3.94,3,Female,34.17,High Risk
75.57,34.5,16.03,66.59,2.0,2,Female,50.69,Medium Risk
61.5,19.82,89.57,19.01,3.54,8,Other,57.75,Medium Risk
